,symbolic_derivates,taylor_term,polynomials
0,log(a),1.14472988584940,1.14472988584940
1,1/a,0.318309886183791*t - 1.0,0.318309886183791*t + 0.1447298858494
2,-1/a**2,-0.5*(0.318309886183791*t - 1)**2,0.318309886183791*t - 0.5*(0.318309886183791*t - 1)**2 + 0.1447298858494
3,2/a**3,0.333333333333333*(0.318309886183791*t - 1)**3,0.318309886183791*t + 0.333333333333333*(0.318309886183791*t - 1)**3 - 0.5*(0.318309886183791*t - 1)**2 + 0.1447298858494
4,-6/a**4,-0.25*(0.318309886183791*t - 1)**4,0.318309886183791*t - 0.25*(0.318309886183791*t - 1)**4 + 0.333333333333333*(0.318309886183791*t - 1)**3 - 0.5*(0.318309886183791*t - 1)**2 + 0.1447298858494
